Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 30 s	12 min 45 s	17 min 	21 min 15 s	25 min 30 s	29 min 44 s	33 min 59 s	38 min 14 s	42 min 29 s	46 min 44 s	50 min 58 s	55 min 13 s	59 min 28 s	63 min 43 s	67 min 58 s	72 min 13 s	76 min 27 s	80 min 42 s	84 min 58 s	89 min 13 s	93 min 28 s	97 min 44 s	101 min 58 s	106 min 14 s	110 min 29 s	114 min 43 s	118 min 58 s	123 min 13 s	127 min 27 s	131 min 42 s	135 min 57 s	140 min 12 s	144 min 26 s	148 min 41 s	152 min 56 s	157 min 11 s	161 min 25 s	165 min 40 s	169 min 54 s	174 min 9 s	178 min 24 s	182 min 38 s	186 min 53 s	191 min 8 s	195 min 22 s	199 min 37 s	203 min 52 s	208 min 6 s
B03	Sample X15	1437198	1517978	1550407	1558565	1523561	1495433	1429170	1346962	1257346	1176176	1054906	911236	762298	628281	601726	580015	548177	482420	480516	512920	509657	511261	482228	484491	447508	458161	452825	452793	403570	399515	442345	493032	443478	447573	491146	529842	561997	615650	426966	466192	511760	537552	573751	603446	658317	701753	733373	380586	342277	345421
B04	Sample X16	1454638	1518892	1567088	1566478	1564867	1530851	1500620	1461782	1401980	1342437	1267715	1162317	1040003	942531	821693	757290	695010	667951	619260	527220	494910	475667	449201	416425	406345	438182	471240	455307	472776	453392	505503	492460	489340	493380	532533	503088	506528	494872	473831	491152	494243	533901	525631	539558	531303	477542	453826	449821	435832	403848
B05	Sample X17	1392736	1489827	1541218	1560587	1542545	1494893	1401427	1287160	1167245	1046951	892075	730641	536990	389028	310812	263133	232438	200636	166407	137352	128428	106168	104968	90548	78246	71320	64848	63488	61230	61855	61152	58002	58417	56675	55762	55403	55556	54316	53287	52470	52386	54633	51236	50375	49838	49323	49866	48896	50877	48611
B06	Sample X18	1378935	1497833	1532463	1550875	1506820	1440966	1348108	1222081	1078238	926541	793116	634916	405613	244696	133813	98991	77433	64287	60715	59045	55641	55457	51373	48100	48065	44743	43363	41227	40708	37220	37106	36191	35512	34133	34946	33883	34256	32066	32521	35413	33020	31925	31415	30760	29586	29645	28691	28735	28483	28051
B07	Sample X19	1368565	1475891	1543412	1556220	1526330	1471507	1385696	1284545	1157333	1017845	867880	689847	488655	379977	301412	301978	237790	202835	181540	146356	141572	119210	99596	89910	75286	67438	63005	61475	61408	60775	58122	56380	55575	54551	55008	54308	52963	52203	52163	50258	50733	50851	48695	49123	47976	47983	47198	45245	45027	45802
B08	Sample X20	1377097	1470546	1531511	1552480	1541356	1504720	1472596	1378813	1290236	1185040	1033445	893691	719415	522756	322028	183390	126792	109841	99130	95973	85188	79307	78951	84282	79362	77771	66496	59867	55265	52316	53007	51336	50497	54437	55053	48615	46483	47543	50390	54393	50211	51196	48595	55550	51301	46070	48590	44196	42302	40925
B09	Sample X21	1347876	1470786	1534021	1571866	1587326	1585667	1546923	1495655	1443100	1376190	1301807	1219213	1127843	1020847	929205	885372	860215	834502	801518	769401	716065	661882	594335	506022	398527	299373	206132	149915	137773	130572	127522	122541	122210	119271	117411	115772	114246	116735	111372	112718	110122	108461	107247	108011	106695	104138	105157	105901	107331	104182
B10	Sample X22	1380210	1497715	1547601	1562540	1556346	1517122	1465542	1400610	1259220	1181471	1025790	905415	720923	536103	333531	174846	108178	84785	69277	62227	58721	54316	60300	48833	48025	45306	43833	44846	42348	41192	38002	37063	40445	37747	34690	36152	33536	32637	34702	33226	32631	32506	31676	31763	31663	31388	28443	29097	29661	33768
B11	Sample X23	1317346	1442816	1518857	1570693	1578311	1558751	1512347	1467165	1383212	1300636	1211885	1109820	987705	870472	785487	746828	707087	659450	597236	546978	455408	389093	305777	231105	183741	133551	97802	73913	69653	64535	63960	60847	59048	58210	57195	55307	54785	53315	53760	52551	51491	51082	49588	48667	49331	47612	48308	47246	46771	46241
B12	Sample X24	1422565	1498200	1527310	1549932	1541442	1532062	1505483	1454901	1412826	1350126	1281011	1226915	1141801	1042468	966986	911075	882160	849930	827320	774102	739135	675721	640283	602245	548312	475872	456417	449065	448461	471372	456466	459825	455336	453521	460927	459707	434741	453350	432383	436251	430163	445788	431841	422440	427843	426043	426656	440348	434785	407346
C01	Sample X25	1350003	1493132	1551237	1578192	1569230	1527082	1470197	1399366	1302566	1155272	1063835	888211	749716	553058	332973	171240	122161	92896	80598	70972	66151	59915	57225	54791	52387	47560	47496	45211	42880	44132	41333	41578	40760	38516	40426	37960	38318	38025	36712	36315	39042	36888	36531	35528	34391	35488	34620	36626	32660	32285
C02	Sample X26	1378966	1474206	1524400	1540542	1505841	1453735	1375011	1282447	1156933	1036300	896535	699795	511543	423452	369823	340423	360463	356058	338967	325128	313420	292813	282421	294775	296310	272692	271242	260825	235693	224137	228635	217323	201171	185746	174126	175047	170138	163595	151446	149667	145051	132280	149485	137268	150090	152045	161891	147436	154296	153426
C03	Sample X27	1403300	1484947	1539062	1547575	1528745	1498141	1440268	1368577	1260780	1152571	1050020	900648	723436	557975	475540	422295	410697	326437	336131	348667	350558	345248	345917	370480	339901	374718	387042	358172	337666	347787	344783	368052	334888	377581	430182	385261	427586	493292	529497	556643	511095	546542	574680	658855	728683	336626	355263	372343	406270	442062
C04	Sample X28	1412907	1495288	1547358	1569321	1567405	1546617	1520455	1484825	1413520	1361206	1275216	1191257	1071356	994572	910926	777978	718417	667780	599741	574280	549473	488026	451175	459033	500062	479983	511761	478840	497456	525771	527505	536503	525612	543088	554175	531412	528125	545950	541510	509540	553510	487932	487086	508298	500431	512575	511075	522240	503907	540476
