Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 14 s	8 min 29 s	12 min 44 s	16 min 59 s	21 min 13 s	25 min 28 s	29 min 43 s	33 min 58 s	38 min 13 s	42 min 27 s	46 min 42 s	50 min 57 s	55 min 11 s	59 min 26 s	63 min 41 s	67 min 55 s	72 min 10 s	76 min 25 s	80 min 39 s	84 min 54 s	89 min 9 s	93 min 24 s	97 min 38 s	101 min 53 s	106 min 8 s	110 min 22 s	114 min 37 s	118 min 52 s	123 min 6 s	127 min 21 s	131 min 36 s	135 min 51 s	140 min 5 s	144 min 20 s	148 min 35 s	152 min 49 s	157 min 4 s	161 min 19 s	165 min 33 s	169 min 48 s	174 min 3 s	178 min 17 s	182 min 32 s	186 min 47 s	191 min 2 s	195 min 16 s	199 min 31 s	203 min 46 s	208 min 
A01	Sample X1	1556582	1536205	1527338	1475831	1382531	1344210	1268581	1206043	1129305	1060108	977925	886922	833927	723131	651788	585501	541328	513287	520111	563068	560540	571932	582211	572200	552480	547666	559768	470837	445808	467681	458196	371681	380552	406683	371095	366255	358246	350753	340141	339351	330097	352090	n.a.	n.a.	360807	376736	376438	365775	351427	335927
A02	Sample X2	1585601	1582272	1561145	1520490	1454081	1373761	1264706	1175858	1058981	968766	836888	732233	654765	468891	322935	205211	92873	36440	19258	23797	14462	15351	102793	109158	55325	45131	39791	44868	30858	33853	22860	25682	25165	19651	21381	18490	17878	16348	15457	56458	37090	33770	n.a.	n.a.	16565	20480	18148	18180	20842	38462
A03	Sample X3	1591573	1559657	1531786	1458278	1371177	1284458	1231155	1185930	1098530	1027671	926160	798532	670652	554086	463767	377198	375868	349640	367931	366838	305862	335338	319653	346940	382592	389077	401305	400445	469907	480283	404197	392605	421063	418148	415845	432391	441005	430743	476140	505980	516675	491920	n.a.	n.a.	422625	445570	496332	544391	512031	516123
A04	Sample X4	1595828	1596543	1584146	1530208	1479723	1409916	1336921	1234243	1154348	1065706	966433	863058	733777	619733	544311	516325	469991	462066	427840	408815	376867	350275	320672	292141	255302	226613	215060	180666	174732	150706	164743	153598	134451	145177	160608	127790	161867	163287	166162	165048	139967	151230	n.a.	n.a.	156250	132395	150898	154077	173753	178478
A05	Sample X5	1609616	1615532	1616238	1604528	1568091	1551461	1516881	1484718	1435758	1398097	1344720	1301258	1263890	1236335	1168881	1111338	1063287	1037036	1018610	1018993	1014882	1015175	992581	972165	931450	889188	859601	873370	826402	745175	577786	546975	549196	427620	437768	423996	457807	494715	509587	526707	546806	560506	n.a.	n.a.	539475	531307	575877	541327	524018	514228
A06	Sample X6	1583543	1580905	1563862	1517166	1444117	1360992	1242628	1105666	942647	753117	556346	426503	378385	355698	336160	317402	296545	271740	264030	244991	233201	205127	243198	197510	185246	173170	168345	167550	168156	148577	150362	153263	172395	154122	159162	154453	160142	157105	205188	188188	171557	167438	n.a.	n.a.	138047	140285	128832	143767	146471	129356
A07	Sample X7	1580605	1584428	1569585	1528080	1479070	1436072	1372136	1287343	1199910	1120882	1061802	990348	919870	811006	710976	616088	558957	523127	500067	494205	449637	428413	434651	418251	402677	390213	376447	370728	414826	361187	350271	371028	403476	386532	392637	373093	413322	438072	466817	463292	450816	335568	n.a.	n.a.	294173	285425	280930	284315	278015	281203
A08	Sample X8	1569681	1598333	1576643	1512826	1432133	1325797	1211005	1089430	957661	822421	663825	499421	347423	249405	241443	228002	204523	184196	167173	146697	127006	110127	87845	75903	59081	50120	41995	35668	37698	35686	36298	38310	38816	33071	34540	29406	30336	31408	35655	30018	29827	31272	n.a.	n.a.	26383	28456	30155	29131	28573	26913
A09	Sample X9	1467355	1604052	1573727	1525162	1464380	1380521	1325700	1256262	1177688	1099008	1014603	911208	835721	732940	650068	586060	584096	568816	531938	570332	446837	409961	399940	381708	344216	329968	331196	328505	318377	366131	366370	362731	332846	344125	367351	374480	427056	431582	426175	414125	408460	408391	n.a.	n.a.	527973	536400	531286	579140	590840	698402
