Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 30 s	12 min 45 s	17 min 	21 min 15 s	25 min 30 s	29 min 45 s	34 min 	38 min 15 s	42 min 30 s	46 min 45 s	50 min 59 s	55 min 14 s	59 min 29 s	63 min 44 s	67 min 58 s	72 min 14 s	76 min 29 s	80 min 44 s	84 min 59 s	89 min 14 s	93 min 29 s	97 min 44 s	101 min 59 s	106 min 14 s	110 min 29 s	114 min 43 s	118 min 58 s	123 min 13 s	127 min 28 s	131 min 44 s	135 min 58 s	140 min 13 s	144 min 28 s	148 min 43 s	152 min 58 s	157 min 13 s	161 min 28 s	165 min 43 s	169 min 58 s	174 min 13 s	178 min 28 s	182 min 43 s	186 min 58 s	191 min 13 s	195 min 27 s	199 min 43 s	203 min 57 s	208 min 12 s
A01	Sample X1	1573612	1560177	1533221	1501650	1430783	1382347	1312833	1294236	1177902	1140891	996568	899892	765396	627645	605943	526660	547983	541540	527240	482733	486713	470967	424617	408117	409690	408205	431997	394422	425617	379722	401008	370286	367090	401877	382871	357397	339586	332576	364796	312337	331386	289496	293967	287778	279497	293137	306582	289345	277628	282216
A02	Sample X2	1386113	1534641	1558746	1576201	1569673	1532072	1474098	1411135	1325432	1223025	1131422	989078	844657	694637	598618	527482	465086	402741	343250	290731	227570	174350	148837	114936	90425	73720	62760	60898	59855	55256	54703	54320	52326	51323	51577	52076	49593	48217	47360	48365	46203	47220	46097	44695	46967	45225	43182	43741	43046	43818
A03	Sample X3	1495191	1569190	1578865	1542305	1483521	1408190	1303553	1185318	1057938	916742	752592	588780	363085	245047	173080	174978	154321	155923	142376	141091	132581	121931	124761	110868	121465	123502	128655	111637	111635	107047	97878	101010	111263	105337	96391	90637	85432	80655	87360	80257	78682	79020	78105	75788	74362	79276	73600	73602	71736	71526
A04	Sample X4	1480702	1569053	1591236	1597567	1585792	1558625	1520216	1482353	1425972	1366248	1306077	1233132	1138447	1050967	1006598	965502	932758	912470	879896	861242	823666	755193	653846	503373	369837	307211	292822	276987	276000	265722	258217	249861	271712	258326	265813	268916	271975	253055	251345	265708	259115	252962	246065	265932	251825	253886	246927	247125	252451	265735
A05	Sample X5	1409625	1528766	1573122	1579902	1556065	1506307	1453347	1389516	1313507	1227295	1139706	1033575	927941	857730	822097	793952	767552	733092	694088	653115	599040	553632	477513	381443	266616	154086	121342	114195	111166	112337	109693	105865	106671	106183	104296	104201	104847	105076	97490	98611	96575	96892	94196	94715	92130	91550	90851	90943	88698	88241
A06	Sample X6	1470063	1548166	1569787	1547750	1496942	1420815	1342596	1228840	1127225	1024987	892675	714181	549940	470516	425103	372682	347981	293590	260176	239642	215208	173823	148537	120536	101720	98857	95025	91706	93876	86910	87225	83912	84433	81818	78937	78320	77370	75938	74241	72602	75806	70266	68835	70888	69028	67800	66553	66712	68181	67007
A07	Sample X7	1438338	1547900	1561726	1543801	1503926	1428832	1340233	1269476	1139668	1028736	880986	739278	530251	326655	197766	160481	124918	104417	85598	77781	70567	64386	61696	55998	49846	46132	46036	44488	45042	42912	43285	41886	42178	38968	39058	39316	37515	36855	37068	39582	36970	37321	34941	34822	34797	35282	35456	33915	33792	33885
A08	Sample X8	1466248	1552897	1572195	1544258	1502237	1411461	1291743	1181166	1092326	946470	769843	615230	388941	205613	125055	94338	78517	68495	63973	59192	56225	52408	50811	48355	45897	44610	43167	44348	43428	42836	40547	39857	38337	38030	39630	38045	38565	37116	36500	36957	35297	34447	35371	35508	33256	32536	33155	32752	34720	32856
A09	Sample X9	1414131	1529241	1550175	1506275	1449316	1376765	1276663	1199475	1073871	968240	842190	717642	620518	489397	480045	405308	359603	343805	354726	336626	343250	353285	380736	348827	332013	335557	340738	341123	339477	300402	314787	282883	308966	307203	334635	303653	310741	306563	308131	313657	322575	338841	332893	340628	341345	320525	320843	306652	304897	326363
A10	Sample X10	1449620	1528560	1522343	1508738	1477213	1380338	1342333	1199972	1148875	1054043	883800	761123	575611	401843	331120	419913	382717	374531	382756	349083	311010	326666	251298	274442	433230	332768	328357	355875	337152	345181	334141	355617	454903	314293	324307	319553	320958	363008	385515	358638	326506	303330	372677	366200	420240	486628	476110	421475	537411	542323
A11	Sample X11	1409078	1524787	1556705	1554620	1530006	1465202	1396581	1276698	1175353	1061497	921608	764426	584128	396701	268745	190568	159231	133240	108785	88990	74390	64648	53543	49143	44447	39656	38275	37722	36922	34956	38630	34780	35358	33941	33233	31832	32497	32182	31746	31218	33466	30891	30980	29752	29822	29091	30517	29471	29086	27825
A12	Sample X12	1531595	1618702	1637141	1626078	1604043	1580667	1545010	1504747	1454597	1385302	1329210	1234683	1131738	1033760	985737	946157	923628	905255	873981	822422	743813	666742	569891	418520	300113	266601	275866	276082	263727	265352	247175	254521	268520	265825	262842	259277	258692	268138	259863	257763	245263	238330	257380	248578	262123	272841	261937	275377	266507	277503
B01	Sample X13	1492578	1564472	1570620	1541558	1503761	1410238	1404581	1330041	1255646	1174722	1076886	898891	719230	605601	584347	517746	538647	483407	508451	526513	489707	483592	433702	433260	406452	416623	415972	367282	415246	394483	350715	368793	350427	344783	383298	360506	364473	315276	359117	312310	303865	330287	335847	301160	307028	309542	275017	285076	299375	284226
B02	Sample X14	1449475	1530116	1568568	1588833	1594892	1569260	1533402	1482581	1438148	1371402	1290228	1180250	1068741	924830	815022	749452	692938	641175	577137	512615	392976	279575	222777	161040	124362	97571	83656	75957	76403	75413	74890	73636	71938	69811	70237	69936	69622	68131	66466	64057	65225	64563	64696	61833	61600	60813	59322	60711	59530	57627
B03	Sample X15	1501232	1582470	1587805	1550641	1502782	1431471	1334795	1230253	1117015	1006162	857857	697191	475618	322823	216911	210821	181431	168416	161132	154903	152021	141557	133597	119056	120492	114105	105737	95645	91761	87163	85423	80320	78525	79090	75112	76433	74411	75062	71620	73726	72507	76081	70905	72016	68291	66476	65463	64940	63012	64927
B04	Sample X16	1495012	1560013	1594492	1597696	1590190	1567777	1534338	1494807	1451861	1393462	1323782	1240233	1163145	1074667	1025312	985383	955150	935233	905203	890621	857292	803523	707777	574835	445827	373818	328082	327927	309381	307225	295383	295251	309603	320307	317463	317228	308631	307037	294088	299132	309580	297110	300610	293023	288831	287360	291227	282325	286143	275460
B05	Sample X17	1453648	1518138	1575626	1600903	1587516	1554706	1497501	1442806	1351356	1295596	1204765	1115977	1020205	922877	850807	827017	792737	757551	726531	685967	642386	600811	534988	456426	359930	250997	176625	141503	124253	122838	118828	116163	115281	110393	112323	113433	110675	108641	109750	109063	106598	105651	106662	104136	105225	103517	102660	103982	99425	100217
B06	Sample X18	1440915	1537572	1561733	1553560	1520072	1448401	1370143	1281700	1166731	1054125	920236	773208	614592	505030	425483	384771	349933	308963	272477	235142	207766	164978	137393	117260	100622	92372	86630	82313	81270	78593	75863	73888	74162	72570	71763	73826	74278	71846	74893	69557	68655	68272	68927	65086	67943	64401	64506	64798	63770	62283
B07	Sample X19	1441993	1542772	1563162	1552820	1529428	1459545	1357817	1279013	1211128	1059450	918512	781778	581636	386693	237987	177466	134551	112443	105735	80655	68482	61751	57233	52635	48802	48202	44982	42981	42738	41365	41380	40771	39085	40588	40347	37572	37506	36351	35902	36432	34950	34895	33940	34718	35031	33070	33543	33576	34178	32818
B08	Sample X20	1451336	1524363	1557265	1540103	1503842	1425836	1314600	1181462	1056848	938630	753156	562490	331218	190646	118305	99617	78667	68380	65517	58856	57231	52757	50742	51678	46916	46501	43561	43763	42645	41145	39973	39331	38717	39331	38477	38373	39438	35981	36275	35528	35583	35317	34506	33427	33588	34052	32560	33138	32973	33288
B09	Sample X21	1408505	1545618	1555038	1526903	1470377	1417505	1349452	1264537	1170972	1085526	992362	896346	763437	636158	596423	411692	455435	453432	369420	404058	405918	406841	366615	363506	398055	404376	391202	408031	391941	377881	331247	352765	364420	358037	371695	375486	351208	381215	384038	382272	363850	353487	357705	358392	361391	376078	356813	364537	357640	364876
B10	Sample X22	1428735	1510557	1524778	1508007	1487342	1435711	1363885	1315631	1190761	1097376	988840	861867	680723	501106	465560	424200	393805	430933	377588	377525	329738	313751	311595	342028	367916	318142	302483	282620	327121	319236	237578	233131	228617	222258	282807	284542	267580	264135	235377	137127	176530	184883	166920	310875	225258	200692	192122	197118	219230	157910
B11	Sample X23	1391587	1479417	1543696	1556985	1547383	1497566	1425426	1332716	1246338	1131105	975337	823182	692173	528237	341628	250077	191396	160288	128922	104655	85736	68637	55272	46053	42551	38150	35787	35175	33555	33027	31583	33855	30252	29852	28813	28456	28463	27836	31816	27096	27727	26790	25982	25863	26882	25048	25411	24726	24855	24581
B12	Sample X24	1508787	1555050	1592691	1589178	1582180	1557427	1533312	1483641	1451633	1396810	1333971	1259376	1176048	1082685	1017011	970311	965606	942215	910226	880697	821711	740761	654250	540710	426350	400586	385042	387865	384012	373527	372205	348572	370166	378618	405832	375302	388957	393800	398448	389368	327782	327882	319477	334867	324856	324300	332430	367133	357363	361297
C01	Sample X25	1579355	1579335	1500658	1403638	1221433	1039165	883885	645061	550338	509017	478528	467623	497591	463767	519080	448947	511121	457917	457877	466987	498920	454867	441522	443000	428457	420817	416305	421357	401776	401897	415988	376820	415518	400630	388336	377750	397255	388715	391482	369112	380903	363632	363576	418888	312035	271742	300916	304133	299280	302350
C02	Sample X26	1447897	1525551	1560713	1571113	1549963	1500672	1444137	1380986	1293027	1196693	1088475	961010	836952	708203	641126	568026	513477	483402	402476	313597	254405	213096	178900	139478	111250	81905	68146	61281	56023	54411	53223	52062	52047	51326	49800	49212	48995	46140	47266	44921	45655	45428	43930	44200	42446	44226	42530	42113	40881	40162
C03	Sample X27	1494788	1564130	1570478	1552711	1504997	1441322	1355615	1229121	1106522	967583	839303	651836	446156	272776	177947	160758	130466	120540	112092	107520	103412	102627	93598	86840	85998	78498	81383	73046	68252	71313	65827	70931	68226	63785	69473	69158	67837	63057	63803	62412	62438	61630	60456	60062	58287	57956	60697	56188	55776	54346
C04	Sample X28	1479512	1556232	1586557	1593340	1587107	1570522	1532012	1493723	1459356	1413373	1347442	1283331	1190266	1107778	1050162	999230	966707	945637	922736	900300	867785	818598	766775	659197	509761	373743	318696	298190	287882	281117	266346	267920	297018	304090	300213	305556	308467	291521	291641	294183	278941	277666	267830	273045	275927	256836	273756	275505	271648	261172
C05	Sample X29	1457830	1512548	1579221	1591937	1589500	1550323	1501462	1436831	1359013	1283865	1220358	1121713	1005666	914587	856842	824543	802775	756833	726881	686477	639695	604941	542701	470707	392978	273950	193253	141852	128350	118186	116511	115091	113966	109986	109973	110632	108500	108748	105580	105492	105070	103530	103257	103057	101522	100591	99167	100352	97867	97037
C06	Sample X30	1455216	1529871	1558450	1555713	1511803	1452947	1393516	1298192	1215737	1103488	966163	847396	660566	546532	460192	407076	382031	338937	293362	269215	233397	207971	171171	146683	105160	100982	87292	86292	80067	76341	70916	69255	72261	67470	67926	65050	66487	64591	71443	66246	65257	64310	60870	58815	59306	58475	58761	55851	58160	54450
C07	Sample X31	1432803	1533210	1562918	1560846	1530993	1479332	1397136	1296840	1214310	1092490	990633	834996	672435	469426	277608	197327	149345	127236	106768	84785	75588	71412	56807	53866	49256	46345	44610	43611	40430	38827	37803	39235	36787	36540	35926	35178	34666	34095	33960	33223	32377	33213	31482	33533	32663	29878	30543	28611	29960	29752
C08	Sample X32	1464250	1522545	1559250	1547742	1495787	1417638	1326602	1222111	1082061	928237	754785	568873	379220	200586	124346	93226	79315	67605	59570	57498	51483	49630	47738	43608	43666	40041	39391	38828	36226	38313	34845	34040	35306	33566	32396	31727	32621	32267	32053	30717	30368	29862	28782	30255	29038	28270	29073	27528	26430	26197
C09	Sample X33	1498247	1453200	1504948	1507513	1445837	1396947	1325293	1231485	1135562	1036040	903236	792666	645630	534842	488696	411081	412386	382007	360220	368575	365342	360300	369783	345307	369495	398135	384476	358125	353580	351533	349105	378331	407340	410707	391648	374202	403217	347621	333926	321556	351382	342813	329292	364796	330958	341943	319478	349175	343561	336222
C10	Sample X34	1436813	1490982	1517767	1519536	1500333	1439415	1382291	1294718	1197916	1117068	997715	888363	737580	626190	440058	355545	344118	292791	291518	293807	261552	334537	317643	320921	289965	284475	283692	198458	186236	191843	221322	367280	214068	190583	192141	155835	161743	169916	159861	178143	155327	145253	213675	188938	201172	226636	215962	187377	318415	280735
C11	Sample X35	1400513	1484945	1538373	1559590	1537665	1482551	1389615	1299693	1180671	1065187	933197	778287	592165	427737	269958	184052	164641	124652	107103	93692	71550	59503	49900	45293	38077	37131	35111	32916	32201	29880	29661	28830	28862	28078	26923	26095	26472	25333	24782	24381	23948	24092	23933	23847	23456	22695	25745	22350	22312	22571
C12	Sample X36	1503588	1551462	1588247	1581932	1578915	1555408	1514870	1464540	1436610	1377655	1309050	1237533	1147615	1044603	996893	966806	953320	924853	895633	877323	833547	754653	668052	569961	427773	315152	288607	269918	254142	276673	268473	274233	302692	299325	299386	265122	267886	249917	236510	229948	221061	224128	230998	242143	235503	231930	221070	229158	205486	205858
D01	Sample X37	1513062	1571492	1578732	1551352	1496942	1426640	1323657	1220821	1067540	903676	741940	503080	289535	199776	170298	140701	125973	115778	118393	113665	106556	114151	108158	105740	113428	115447	114988	118263	120450	125035	124923	129361	120238	135790	160583	144543	144952	141122	141298	150417	144683	146217	159215	164693	168792	163658	181321	178596	185087	206033
