Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 31 s	12 min 46 s	17 min 1 s	21 min 17 s	25 min 32 s	29 min 47 s	34 min 2 s	38 min 18 s	42 min 33 s	46 min 48 s	51 min 3 s	55 min 18 s	59 min 33 s	63 min 48 s	68 min 3 s	72 min 18 s	76 min 33 s	80 min 49 s	85 min 4 s	89 min 19 s	93 min 35 s	97 min 50 s	102 min 5 s	106 min 20 s	110 min 34 s	114 min 49 s	119 min 4 s	123 min 20 s	127 min 35 s	131 min 50 s	136 min 4 s	140 min 19 s	144 min 35 s	148 min 50 s	153 min 6 s	157 min 21 s	161 min 37 s	165 min 52 s	170 min 7 s	174 min 22 s	178 min 37 s	182 min 52 s	187 min 7 s	191 min 23 s	195 min 37 s	199 min 52 s	204 min 6 s	208 min 21 s
A01	Sample X1	1561126	1616887	1630440	1613352	1592281	1540098	1484446	1403757	1343660	1266755	1177131	1104980	1010426	924977	866467	839186	829303	820375	818215	806995	789246	773065	751321	693026	643716	582462	523716	428010	364122	275225	192840	138658	56215	31262	24700	20373	22006	21377	19505	24111	20372	22261	26520	23371	21718	25498	20512	21368	26386	n.a.
A02	Sample X2	1591700	1608528	1575930	1528946	1448785	1371392	1265575	1190572	1068402	969841	856158	739853	601906	451101	326883	242168	219101	219255	202302	185741	171842	158460	134550	129251	115070	106515	95251	74560	82953	69810	62786	62345	77111	59447	58072	72440	55252	53672	53327	52726	67711	68660	54935	69560	51646	45112	57847	45698	46948	n.a.
A03	Sample X3	1421766	1530492	1551091	1530741	1507456	1467470	1398297	1318776	1279801	1220501	1163207	1012155	947953	857776	776590	630553	572836	567786	548560	555451	554903	612787	592781	538225	606632	665050	734518	851050	970425	1089588	1095850	1197555	1117783	1063282	983763	997735	1034767	1053731	1046332	1107386	1150648	1174352	1172568	998407	1098335	1067461	1145166	1197718	978992	n.a.
A04	Sample X4	1520013	1579786	1578683	1545643	1493847	1427438	1339505	1232780	1138026	1023285	899237	784510	654042	500237	346720	194703	77645	31873	27897	21876	26297	20632	21273	22228	22897	19688	21266	27971	19771	20320	21277	21471	19295	21190	19617	20877	26928	20978	22012	20678	21035	20530	23858	22092	24498	20812	23252	19765	20641	n.a.
A05	Sample X5	1448455	1518417	1549821	1551225	1524448	1478166	1408402	1317623	1220965	1110508	1003716	891685	776303	631895	492627	334815	195242	96450	63695	46623	42191	34297	36243	31137	27335	26196	18931	19250	12995	12953	13801	11528	11538	10113	10921	10696	10496	10967	10066	10836	9727	10055	9240	8810	8811	10513	10148	9763	10005	n.a.
A06	Sample X6	1575033	1553822	1473425	1353843	1155241	916706	646552	331923	170522	123591	108727	81807	64783	44085	35888	27461	21940	17701	16113	15403	17202	16286	15348	14791	17888	16391	15462	14912	16958	14833	14105	14835	13550	12436	12145	13328	13247	15977	13037	14436	13945	13927	12306	13290	12988	13240	13007	12871	12500	n.a.
A07	Sample X7	1530862	1571472	1567097	1541362	1489488	1420831	1336637	1254511	1167590	1075807	988130	880296	763921	637208	520925	435783	402197	380793	365108	341036	346045	330398	313692	297437	274148	267578	234547	218897	177786	182031	167718	119888	123978	83893	78407	56877	65607	66010	97906	65343	63076	97110	84783	62221	96396	55893	80205	67532	55683	n.a.
A08	Sample X8	1480078	1573730	1574600	1551308	1504383	1425652	1320078	1224677	1103393	971043	857641	692513	523392	342830	153088	44811	28288	22737	25716	22561	35692	21301	20675	19307	29075	22097	20708	18390	18773	18752	19923	16776	19045	18002	16185	17406	19865	17530	17103	17973	16407	16861	15965	16351	16256	15011	14922	14962	14546	n.a.
A09	Sample X9	1465372	1575293	1576925	1550198	1507425	1427682	1337988	1240485	1151731	1051235	910422	821976	676496	554277	433517	268553	136152	41031	21367	18123	16240	15942	15015	16791	15361	16258	15038	14697	15045	15183	15846	14373	17035	63683	16316	19872	19140	22898	18111	58218	47791	67895	18491	22240	65486	315825	419568	381596	515560	n.a.
A10	Sample X10	1440200	1545527	1541356	1517256	1479926	1433202	1349372	1304507	1251395	1103455	1037802	974960	919131	841187	736138	625430	565736	569253	560352	522497	555868	598031	596516	652621	643590	735985	747027	913712	771833	994538	896155	883137	823141	799416	933081	751121	698916	749312	750587	728516	744008	734240	809758	889981	706528	696880	778092	738728	758261	n.a.
A11	Sample X11	1564718	1584171	1560717	1533055	1471485	1423282	1367103	1303666	1200312	1139718	1052218	961153	846440	731008	634328	550151	527235	491257	521947	472043	484268	476980	498332	472017	458738	438442	426911	411266	367921	359057	330785	311131	344971	343628	323003	316707	299576	262938	284252	273676	297808	276160	232967	215937	254746	250818	262320	260233	208286	n.a.
A12	Sample X12	1474891	1571518	1600773	1588450	1541048	1500963	1424200	1354467	1250655	1177000	1089486	975160	884398	766167	633430	527018	390985	324003	280430	261981	227702	211515	182563	147170	133576	108970	89977	65622	48853	39143	30428	41482	26451	24740	21808	21557	19386	19357	17971	17251	17678	17705	17442	17990	18213	17586	18666	17580	17875	n.a.
B01	Sample X13	1462763	1557955	1599046	1614422	1617360	1589376	1545167	1488377	1441525	1367082	1309212	1234847	1165697	1084281	998913	912785	839362	810806	799683	782863	775530	770620	752660	732063	710738	667616	633786	592277	533000	483476	418111	336640	265211	208831	145353	60957	23908	13577	14388	10185	9800	9503	15466	10248	14022	15387	15287	12905	8983	n.a.
B02	Sample X14	1447445	1544875	1573928	1563811	1525751	1460698	1383045	1290835	1192580	1075040	977588	858403	738737	625031	478973	344323	239648	215256	194087	173625	185582	172951	151026	146941	143510	132086	95738	100516	95502	82580	77893	60982	47813	45753	38555	35462	42665	38295	36968	26086	28970	33531	33118	24177	27650	25511	25513	23562	27053	n.a.
B03	Sample X15	1332210	1447813	1518973	1563496	1565446	1546156	1489463	1432951	1399800	1318465	1248710	1206502	1128012	1081240	1004018	914078	801126	740563	764743	728491	765438	788546	839561	890898	926401	977830	942588	959385	1019338	1044983	993997	864802	734195	692071	517993	533207	574030	616023	621888	682046	673638	680796	671451	536205	645326	625320	622911	629752	626333	n.a.
B04	Sample X16	1441815	1527312	1554050	1563830	1539451	1488951	1416557	1324885	1213935	1100636	992438	867623	729440	600683	466163	310177	170128	59843	23791	18050	21973	15946	14913	16178	15402	14978	17402	16937	16011	14678	18026	14667	14906	14567	14540	16360	14092	15343	14855	16855	14518	15216	14686	16403	15230	14127	15107	14186	17852	n.a.
B05	Sample X17	1408483	1484401	1543720	1568150	1555368	1523748	1455140	1362008	1265581	1174365	1040378	935328	819205	679758	536403	384533	231302	120872	84656	63143	52278	41998	37247	36131	27728	26697	19406	18568	12352	11650	8946	7260	6177	4736	7170	6270	198220	5295	4731	7317	4370	7676	5498	5638	4612	4923	64507	5187	4913	n.a.
B06	Sample X18	1388890	1502768	1552297	1577231	1563372	1531735	1467317	1395531	1290887	1188033	1072163	942115	795308	637013	468513	287996	151111	108048	96322	83128	76012	57468	49148	38831	31658	31770	21297	19416	16535	13813	12788	11961	11426	12700	11642	10976	12910	12636	11203	11972	12590	11102	12608	10701	10455	11081	11057	11147	12028	n.a.
B07	Sample X19	1435312	1534952	1565222	1568050	1534115	1486672	1416153	1328841	1251836	1153310	1058212	948175	841102	720452	599570	467382	400301	375872	351083	316311	314041	293245	278967	255656	241870	235983	224883	196632	179795	157428	122375	90983	70082	46710	35563	29596	26858	27641	24471	19542	32296	23163	26038	22348	21196	25746	17115	19776	18521	n.a.
B08	Sample X20	1411368	1533108	1560025	1570633	1549780	1509187	1436836	1338495	1255172	1114601	981983	844803	678538	512183	316678	127995	31503	20762	18247	15291	15391	17211	22892	14670	14808	13861	14068	13650	13172	14178	20921	14575	12776	13107	13323	16093	14302	12933	12241	13360	12311	11906	12306	20870	10823	12546	10876	12375	12250	n.a.
B09	Sample X21	1409096	1532926	1574507	1580077	1456545	1507725	1429062	1337670	1237892	1146285	1049163	921231	795640	687046	566086	381898	228595	110060	24480	11011	10773	9682	8770	7203	7620	6865	8908	9627	6735	9403	9786	8678	8127	31881	11068	26450	28998	28961	21553	32830	42606	311923	28597	21498	40376	66415	264415	219826	448577	n.a.
B10	Sample X22	1345498	1450122	1469396	1486501	1486277	1452833	1397507	1292115	1244467	1185543	1089868	996677	918700	829073	726451	608482	526396	507083	491613	472455	479078	472172	512277	581835	640216	693728	759547	796497	838346	896168	854765	949133	1003570	866718	846913	801766	786160	776268	758162	750822	780692	824651	858550	833653	868297	945572	661208	846526	811710	n.a.
